336037,1,6,6,SB Styris,Y Venugopal Rao,JA Morkel,4,0,4,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,7,1,Y Venugopal Rao,SB Styris,MS Gony,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,7,2,SB Styris,Y Venugopal Rao,MS Gony,4,0,4,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,7,3,SB Styris,Y Venugopal Rao,MS Gony,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,7,4,Y Venugopal Rao,SB Styris,MS Gony,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,7,5,Y Venugopal Rao,SB Styris,MS Gony,0,1,1,0,0,NA,NA,NA,legbyes,Deccan Chargers,Chennai Super Kings
336037,1,7,6,SB Styris,Y Venugopal Rao,MS Gony,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,8,1,Y Venugopal Rao,SB Styris,M Muralitharan,0,1,1,0,0,NA,NA,NA,wides,Deccan Chargers,Chennai Super Kings
336037,1,8,2,Y Venugopal Rao,SB Styris,M Muralitharan,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,8,3,Y Venugopal Rao,SB Styris,M Muralitharan,2,0,2,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,8,4,Y Venugopal Rao,SB Styris,M Muralitharan,0,1,1,0,0,NA,NA,NA,wides,Deccan Chargers,Chennai Super Kings
336037,1,8,5,Y Venugopal Rao,SB Styris,M Muralitharan,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,8,6,SB Styris,Y Venugopal Rao,M Muralitharan,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,8,7,Y Venugopal Rao,SB Styris,M Muralitharan,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,8,8,Y Venugopal Rao,SB Styris,M Muralitharan,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,9,1,Y Venugopal Rao,SB Styris,L Balaji,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,9,2,Y Venugopal Rao,SB Styris,L Balaji,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,9,3,SB Styris,Y Venugopal Rao,L Balaji,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,9,4,SB Styris,Y Venugopal Rao,L Balaji,4,0,4,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,9,5,SB Styris,Y Venugopal Rao,L Balaji,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,9,6,SB Styris,Y Venugopal Rao,L Balaji,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,10,1,SB Styris,Y Venugopal Rao,M Muralitharan,0,0,0,0,1,bowled,SB Styris,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,10,2,DB Ravi Teja,Y Venugopal Rao,M Muralitharan,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,10,3,DB Ravi Teja,Y Venugopal Rao,M Muralitharan,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,10,4,DB Ravi Teja,Y Venugopal Rao,M Muralitharan,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,10,5,Y Venugopal Rao,DB Ravi Teja,M Muralitharan,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
